pass	file	line	func	callee	literal	snippet
A	src/frontend/breakp.c	72	om_stop	eq	after	eq(wl->wl_word, "after")
A	src/frontend/breakp.c	90	om_stop	eq	when	eq(wl->wl_word, "when")
A	src/frontend/breakp.c	95	om_stop	strstr	when	strstr(wl->wl_next->wl_next->wl_word, "when")
A	src/frontend/breakp.c	96	om_stop	strstr	after	strstr(wl->wl_next->wl_next->wl_word, "after")
A	src/frontend/breakp.c	131	om_stop	eq	eq	eq(wl->wl_word, "eq")
A	src/frontend/breakp.c	133	om_stop	eq	ne	eq(wl->wl_word, "ne")
A	src/frontend/breakp.c	135	om_stop	eq	gt	eq(wl->wl_word, "gt")
A	src/frontend/breakp.c	137	om_stop	eq	lt	eq(wl->wl_word, "lt")
A	src/frontend/breakp.c	150	om_stop	eq	ge	eq(wl->wl_word, "ge")
A	src/frontend/breakp.c	152	om_stop	eq	le	eq(wl->wl_word, "le")
A	src/frontend/breakp.c	304	om_iplot	eq	all	eq(s, "all")
A	src/frontend/breakp.c	457	om_delete	eq	all	eq(wl->wl_word, "all")
A	src/frontend/breakp2.c	68	ettrace	eq	all	eq(s, "all")
A	src/frontend/breakp2.c	68	ettrace	eq	nosub	eq(s, "nosub")
A	src/frontend/breakp2.c	99	ettrace	eq	all	eq("all", db_nodename1)
A	src/frontend/com_compose.c	121	om_compose	eq	values	eq(wl->wl_word, "values")
A	src/frontend/com_compose.c	229	om_compose	eq	device	eq(wl->wl_word, "device")
A	src/frontend/com_compose.c	260	om_compose	eq	xspice	eq(wl->wl_word, "xspice")
A	src/frontend/com_echo.c	18	om_echo	eq	-n	eq(wlist->wl_word, "-n")
A	src/frontend/com_hardcopy.c	62	com_hardcopy	strcmp	svg	strcmp(devtype, "svg")
A	src/frontend/com_hardcopy.c	67	com_hardcopy	strcmp	postscript	strcmp(devtype, "postscript")
A	src/frontend/com_hardcopy.c	94	com_hardcopy	strcmp	svg	strcmp(devtype, "svg")
A	src/frontend/com_hardcopy.c	213	com_hardcopy	strcmp	plot5	strcmp(devtype, "plot5")
A	src/frontend/com_hardcopy.c	229	com_hardcopy	strcmp	postscript	strcmp(devtype, "postscript")
A	src/frontend/com_hardcopy.c	248	com_hardcopy	strcmp	plot5	strcmp(devtype, "plot5")
A	src/frontend/com_hardcopy.c	255	com_hardcopy	strcmp	postscript	strcmp(devtype, "postscript")
A	src/frontend/com_hardcopy.c	260	com_hardcopy	strcmp	svg	strcmp(devtype, "svg")
A	src/frontend/com_help.c	19	com_help	eq	all	eq(wl->wl_word, "all")
A	src/frontend/com_history.c	534	om_history	eq	-r	eq(wl->wl_word, "-r")
A	src/frontend/com_let.c	93	com_let	eq	all	eq(vec_name, "all")
A	src/frontend/com_let.c	172	com_let	strstr	v(/	strstr(rhs, "v(/")
A	src/frontend/com_let.c	869	kivec	strstr	v(/	strstr(cont, "v(/")
A	src/frontend/com_let.c	876	kivec	strstr	v(/	strstr(cont, "v(/")
A	src/frontend/com_setscale.c	60	om_setscale	strcmp	none	strcmp(wl->wl_word, "none")
A	src/frontend/com_wr_ic.c	63	om_wric	strstr	#branch	strstr(node->name, "#branch")
A	src/frontend/define.c	163	avetree	eq	list	eq(d->v_name, "list")
A	src/frontend/define.c	305	rcopy	strcmp	list	strcmp(d->v_name, "list")
A	src/frontend/device.c	83	evhelp	eq	-type	eq(wlist->wl_word, "-type")
A	src/frontend/device.c	85	evhelp	eq	-flags	eq(wlist->wl_word, "-flags")
A	src/frontend/device.c	87	evhelp	eq	-csv	eq(wlist->wl_word, "-csv")
A	src/frontend/device.c	399	ll_show	eq	-v	eq(wl->wl_word, "-v")
A	src/frontend/device.c	427	ll_show	eq	all	eq(w->wl_word, "all")
A	src/frontend/device.c	561	ll_show_old	eq	-v	eq(wl->wl_word, "-v")
A	src/frontend/device.c	588	ll_show_old	eq	all	eq(w->wl_word, "all")
A	src/frontend/device.c	1484	om_alter_common	eq	w	eq(param, "w")
A	src/frontend/device.c	1484	om_alter_common	eq	l	eq(param, "l")
A	src/frontend/device.c	1566	om_alter_mod	strstr	file	strstr(input, "file")
A	src/frontend/diff.c	237	om_diff	eq	all	eq(wl->wl_word, "all")
A	src/frontend/display.c	441	evSwitch	strcmp	error	strcmp(dispdev->name, "error")
A	src/frontend/dotcards.c	287	t_cktcoms	eq	.width	eq(command->wl_word, ".width")
A	src/frontend/dotcards.c	302	t_cktcoms	eq	.print	eq(command->wl_word, ".print")
A	src/frontend/dotcards.c	330	t_cktcoms	eq	.plot	eq(command->wl_word, ".plot")
A	src/frontend/dotcards.c	359	t_cktcoms	eq	.sndparam	eq(command->wl_word, ".sndparam")
A	src/frontend/dotcards.c	366	t_cktcoms	eq	.sndprint	eq(command->wl_word, ".sndprint")
A	src/frontend/dotcards.c	410	t_cktcoms	eq	.save	eq(command->wl_word, ".save")
A	src/frontend/dotcards.c	411	t_cktcoms	eq	.op	eq(command->wl_word, ".op")
A	src/frontend/dotcards.c	413	t_cktcoms	eq	.tf	eq(command->wl_word, ".tf")
A	src/frontend/evaluate.c	860	pply_func_funcall	eq	interpolate	eq(func->fu_name, "interpolate")
A	src/frontend/evaluate.c	860	pply_func_funcall	eq	deriv	eq(func->fu_name, "deriv")
A	src/frontend/evaluate.c	860	pply_func_funcall	eq	group_delay	eq(func->fu_name, "group_delay")
A	src/frontend/evaluate.c	861	pply_func_funcall	eq	fft	eq(func->fu_name, "fft")
A	src/frontend/evaluate.c	861	pply_func_funcall	eq	ifft	eq(func->fu_name, "ifft")
A	src/frontend/evaluate.c	861	pply_func_funcall	eq	integ	eq(func->fu_name, "integ")
A	src/frontend/evaluate.c	861	pply_func_funcall	eq	mtimeavg	eq(func->fu_name, "mtimeavg")
A	src/frontend/evaluate.c	939	pply_func	eq	minus	eq(func->fu_name, "minus")
A	src/frontend/evaluate.c	941	pply_func	eq	not	eq(func->fu_name, "not")
A	src/frontend/evaluate.c	965	pply_func	eq	cph	eq(func->fu_name, "cph")
A	src/frontend/evaluate.c	965	pply_func	eq	ph	eq(func->fu_name, "ph")
A	src/frontend/evaluate.c	967	pply_func	eq	db	eq(func->fu_name, "db")
A	src/frontend/inp.c	160	om_listing	strcmp	param	strcmp(s, "param")
A	src/frontend/inp.c	439	val_opt	strstr	seedinfo	strstr(line, "seedinfo")
A	src/frontend/inp.c	441	val_opt	strstr	seed=	strstr(line, "seed=")
A	src/frontend/inp.c	449	val_opt	eq	random	eq(token, "random")
A	src/frontend/inp.c	449	val_opt	eq	{random}	eq(token, "{random}")
A	src/frontend/inp.c	472	val_opt	strstr	cshunt=	strstr(line, "cshunt=")
A	src/frontend/inp.c	816	np_spsource	eq	.plot	eq(s, ".plot")
A	src/frontend/inp.c	816	np_spsource	eq	.print	eq(s, ".print")
A	src/frontend/inp.c	818	np_spsource	eq	.width	eq(s, ".width")
A	src/frontend/inp.c	820	np_spsource	eq	.plot	eq(s, ".plot")
A	src/frontend/inp.c	821	np_spsource	eq	.print	eq(s, ".print")
A	src/frontend/inp.c	823	np_spsource	eq	.sndprint	eq(s, ".sndprint")
A	src/frontend/inp.c	824	np_spsource	eq	.sndparam	eq(s, ".sndparam")
A	src/frontend/inp.c	825	np_spsource	eq	.op	eq(s, ".op")
A	src/frontend/inp.c	827	np_spsource	eq	.tf	eq(s, ".tf")
A	src/frontend/inp.c	830	np_spsource	eq	.op	eq(s, ".op")
A	src/frontend/inp.c	830	np_spsource	eq	.tf	eq(s, ".tf")
A	src/frontend/inp.c	878	np_spsource	strstr	scale=	strstr(scan->line, "scale=")
A	src/frontend/inp.c	890	np_spsource	strstr	scalm=	strstr(scan->line, "scalm=")
A	src/frontend/inp.c	905	np_spsource	strstr	scale=	strstr(scan->line, "scale=")
A	src/frontend/inp.c	917	np_spsource	strstr	scalm=	strstr(scan->line, "scalm=")
A	src/frontend/inp.c	1143	np_spsource	strstr	 max 	strstr(dd->line, " max ")
A	src/frontend/inp.c	1144	np_spsource	strstr	 min 	strstr(dd->line, " min ")
A	src/frontend/inp.c	1145	np_spsource	strstr	 avg 	strstr(dd->line, " avg ")
A	src/frontend/inp.c	1146	np_spsource	strstr	 rms 	strstr(dd->line, " rms ")
A	src/frontend/inp.c	1147	np_spsource	strstr	 integ 	strstr(dd->line, " integ ")
A	src/frontend/inp.c	1487	np_dodeck	strstr	.model	strstr(dd->line, ".model")
A	src/frontend/inp.c	1806	om_alterparam	strstr	params:	strstr(curr_line, "params:")
A	src/frontend/inp.c	2262	inp_parse_temper	prefix	.model	prefix(".model", curr_line)
A	src/frontend/inp.c	2265	inp_parse_temper	strstr	temper	strstr(curr_line, "temper")
A	src/frontend/inp.c	2268	inp_parse_temper	prefix	.model	prefix(".model", curr_line)
